t_enc,alpha_grd,timestamp,dataset,k,alpha,tau,thresh,thresh_silent,thresh_silent_chirp,guard_cells,ref_cells,monotonicity_thresh,t_monotonicity,detection_area,recall,precision,f_score,recall_ext,precision_ext,f_score_ext,iou_score_ext,inactive_percentage
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,125,43,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.6232798347370104,0.6194469042883981,0.6213574535769997,0.6990958296853335,0.794388466370618,0.7437020419135509,0.6221337707678849,58.030418608159266
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,125,46,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.6382550717728706,0.6066435770384623,0.6220479668167347,0.7124895188226456,0.7847394454933138,0.7468712394857654,0.6246398980389296,55.4414438328155
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,125,49,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.6547833571693434,0.5923217816974771,0.6219883625639958,0.7269309683368197,0.7736436595579322,0.7495602289788046,0.6266548255965653,52.86256456581121
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,125,52,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.6699303458869668,0.5768989596941705,0.6199439085687695,0.7406175990942431,0.7605897724275325,0.7504708251299588,0.62639342932174,50.292937471100814
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,125,55,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.6854293129932766,0.5612099033706368,0.617130779101712,0.7543664216618391,0.7440042066606565,0.7491494784071658,0.622366094698717,47.731824934036936
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,125,58,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.7001856560199223,0.5424066017742705,0.6112790689854143,0.7665875173536245,0.7228676555904314,0.7440859286265847,0.6144555756987591,45.17840342644171
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,150,1,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.33270538693786816,0.5501612903225808,0.4146529201209131,0.3686456648801799,0.6359920667119875,0.4667467856025215,0.36089984608079384,97.30893618660194
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,150,4,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.3850720377138627,0.6049462365591406,0.47059308645035886,0.43303026194219535,0.7090188700636618,0.5376767351470979,0.42089193996613994,92.80376493633271
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,150,7,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.4216965940992666,0.6357730812013368,0.5070657753870029,0.47791114906920784,0.7491765784604256,0.5835602924181501,0.4616861297935698,88.95744291303969
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,150,10,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.4527265745007706,0.6512895280470391,0.5341517640725388,0.5159498138957702,0.7739214917539288,0.619138738563621,0.49537100951887575,85.34478570565263
